Replace,Replace Words
AKSJESELSKAP,AS
AKTIENGESELLSCHAFT,AG
AKTIESELSKAB,AS
COMPANY,CO
CORPORATION,CORP
CORPORAT,CORP
ESTABLISHMENT,EST
FZC,FZCO
GESELLSCHAFT MIT BESCHRANKTER HAFTUNG,GMBH
INCORPORATION,INC
INCORPORATED,INC
INCORPORAT,INC
JOINT STOCK COMPANY,JSC
KABUSHIKI KAISHA,KK
LIMITED LIABILITY COMPANY,LLC
LIMITED PARTNERSHIP,LP
LIMITED,LTD
NAAMLOZE VENNOOTSCHAP,NV
OSAKEYHTIO,OY
PROPRIETARY COMPANY,PTY
PROPRIETARY,PTY
SOCIEDAD ANONIMA,AG
SOCIETA A RESPONSABILITA LIMITATA,SRL
SOCIETA ANONIMA,AG
SOCIETA PER AZIONI,SPA
SOCIETE A RESPONSABILITE LIMITE,SARL
SOCIETE ANONYM,AG
YUGEN KAISHA,YK
